class,l1,l2
kicking field goal ,regular sports,ball sports
playing polo ,regular sports,bat sports
throwing snowballs ,fun activities,throwing
building lego ,games,blocks games
steer roping ,animal interactions,riding
lock picking ,operating tools,
marching ,group activities,walking
coloring in ,arts and crafts,drawing
cutting watermelon ,kitchen,cutting
tasting beer ,drinking,
skiing slalom ,adventure sports,skating
laughing ,human emotions,face
longboarding ,adventure sports,skating
land sailing ,adventure sports,sailing
changing gear in car ,interaction with automobiles,driving
cutting cake ,celebrations,cutting
bobsledding ,adventure sports,skating
jumpstyle dancing ,dancing,limb movement
welding ,operating tools,
seasoning food ,kitchen,cooking
parasailing ,adventure sports,water sports
cooking sausages ,kitchen,cooking
calligraphy ,arts and crafts,drawing
pouring milk ,kitchen,pouring
huddling ,group activities,gathering
playing netball ,regular sports,ball sports
doing jigsaw puzzle ,games,board games
making cheese ,kitchen,cooking
robot dancing ,dancing,limb movement
shaving legs ,personal care,hair
tying bow tie ,dressing up,wearing
sharpening pencil ,operating tools,
putting on foundation ,make up,face
snorkeling ,adventure sports,water sports
bull fighting ,animal interactions,fighting
spinning poi ,fun activities,juggling
smashing ,adventure sports,combat activity
presenting weather forecast ,human interactions,presenting
playing piano ,musical instruments,keyboard
playing pinball ,games,ball games
contorting ,exercising,bending
bungee jumping ,adventure sports,descending
battle rope training ,exercising,limb movement
giving or receiving award ,human interactions,
jumping sofa ,fun activities,jumping
playing controller ,games,operating tools
drumming fingers ,producing sound,hands
golf putting ,regular sports,bat sports
side kick ,adventure sports,combat activity
hurdling ,regular sports,jumping
sanding wood ,working with wood,
playing poker ,games,cards
kicking soccer ball ,regular sports,ball sports
waving hand ,human body motions,limb movement
dyeing hair ,personal care,hair
playing trumpet ,musical instruments,wind
drinking ,drinking,
catching fish ,animal interactions,
whistling ,producing sound,blowing
feeding fish ,animal interactions,petting
gymnastics tumbling ,exercising,jumping
entering church ,human body motions,limb movement
climbing a rope ,exercising,climbing
skiing (not slalom or crosscountry) ,adventure sports,skating
somersaulting ,exercising,jumping
getting a piercing ,operating tools,
tasting food ,eating,
triple jump ,regular sports,jumping
paragliding ,adventure sports,descending
carving wood with a knife ,working with wood,carving
waxing armpits ,personal care,hair
gospel singing in church ,producing sound,singing
high fiving ,human interactions,touching
putting on mascara ,make up,face
jetskiing ,adventure sports,water sports
repairing puncture ,interaction with automobiles,repairing
answering questions ,human interactions,communication
celebrating ,celebrations,limb movement
playing scrabble ,games,board games
being in zero gravity ,fun activities,floating
popping balloons ,fun activities,
geocaching ,fun activities,
crossing river ,adventure sports,water sports
tiptoeing ,human body motions,limb movement
skateboarding ,regular sports,skating
carving marble ,arts and crafts,carving
jumping into pool ,regular sports,jumping
sharpening knives ,operating tools,
washing feet ,personal care,
slapping ,human interactions,touching
twiddling fingers ,human body motions,limb movement
catching or throwing baseball ,regular sports,bat sports
riding or walking with horse ,animal interactions,riding
waxing eyebrows ,personal care,hair
training dog ,animal interactions,petting
rock scissors paper ,games,limb movement
bathing dog ,animal interactions,petting
cooking scallops ,kitchen,cooking
opening door ,human body motions,limb movement
yawning ,human body motions,face
adjusting glasses ,human body motions,limb movement
picking blueberries ,plant interactions,plucking
playing slot machine ,games,operating tools
breaking glass ,operating tools,
ice fishing ,fun activities,fishing
swimming butterfly stroke ,exercising,water sports
canoeing or kayaking ,adventure sports,sailing
milking cow ,animal interactions,petting
shouting ,human interactions,communication
being excited ,human emotions,limb movement
kitesurfing ,adventure sports,water sports
finger snapping ,human body motions,limb movement
laying decking ,construction,masoning
tagging graffiti ,arts and crafts,drawing
shearing sheep ,animal interactions,petting
smelling feet ,human interactions,sniffing
breading or breadcrumbing ,kitchen,cooking
coughing ,human body motions,face
country line dancing ,dancing,limb movement
waxing back ,personal care,hair
moving furniture ,home activities,pushing
decoupage ,arts and crafts,drawing
pushing car ,interaction with automobiles,pushing
hula hooping ,exercising,limb movement
vacuuming floor ,cleaning,limb movement
massaging person’s head ,human interactions,massaging
belly dancing ,dancing,limb movement
brush painting ,arts and crafts,drawing
cheerleading ,dancing,limb movement
setting table ,home activities,pushing
making sushi ,kitchen,cooking
chiseling wood ,working with wood,cutting
crocheting ,arts and crafts,threads and cloths
tapping pen ,human body motions,limb movement
shoveling snow ,cleaning,limb movement
playing with trains ,games,toys
using computer ,operating tools,
eating doughnuts ,eating,
playing maracas ,musical instruments,percussion
waking up ,human body motions,limb movement
bookbinding ,operating tools,
picking fruit ,plant interactions,plucking
dining ,eating,
dancing charleston ,dancing,limb movement
flipping pancake ,kitchen,cooking
sword swallowing ,arts and crafts,performing
person collecting garbage ,cleaning,
snowkiting ,adventure sports,skating
juggling balls ,fun activities,juggling
skydiving ,adventure sports,descending
fixing bicycle ,interaction with automobiles,repairing
opening refrigerator ,human body motions,limb movement
sweeping floor ,cleaning,limb movement
pulling rope (game) ,games,pulling
ski jumping ,adventure sports,skating
gargling ,personal care,
using a microscope ,operating tools,
breathing fire ,arts and crafts,performing
mopping floor ,cleaning,limb movement
shooting off fireworks ,group activities,celebrating
directing traffic ,human interactions,communication
tickling ,human interactions,touching
snowboarding ,adventure sports,skating
using a sledge hammer ,construction,operating tools
busking ,musical instruments,string
mushroom foraging ,fun activities,
squeezing orange ,kitchen,cooking
using a paint roller ,operating tools,
tying necktie ,dressing up,wearing
burping ,human body motions,face
unboxing ,fun activities,
tackling ,human interactions,touching
exercising,exercising,
playing saxophone ,musical instruments,wind
playing flute ,musical instruments,wind
bending back ,exercising,bending
trimming shrubs ,plant interactions,cutting
decorating the christmas tree ,celebrations,decorating
snowmobiling ,adventure sports,skating
playing recorder ,musical instruments,wind
cooking on campfire ,kitchen,cooking
cutting orange ,kitchen,cutting
playing pan pipes ,musical instruments,wind
hoverboarding ,regular sports,skating
skipping rope ,exercising,jumping
zumba ,dancing,limb movement
uncorking champagne ,human body motions,limb movement
filling eyebrows ,make up,eye
long jump ,regular sports,jumping
building sandcastle ,fun activities,masoning
riding mountain bike ,interaction with automobiles,driving
playing ocarina ,musical instruments,wind
falling off chair ,fun activities,
eating burger ,eating,
drop kicking ,adventure sports,combat activity
tossing coin ,games,throwing
surfing water ,adventure sports,water sports
smoking hookah ,human body motions,face
hopscotch ,games,jumping
biking through snow ,interaction with automobiles,driving
swinging legs ,human body motions,limb movement
bandaging ,health,nursing
curling hair ,make up,hair
catching or throwing softball ,regular sports,ball sports
shining flashlight ,operating tools,
washing hands ,personal care,limb movement
card throwing ,games,cards
playing harp ,musical instruments,string
playing drums ,musical instruments,percussion
tying tie ,dressing up,wearing
watching tv ,fun activities,
dumpster diving ,group activities,
eating carrots ,eating,
weaving fabric ,arts and crafts,threads and cloths
singing ,producing sound,singing
throwing knife ,human body motions,limb movement
alligator wrestling ,animal interactions,fighting
playing kickball ,regular sports,ball sports
cleaning shoes ,cleaning,limb movement
pillow fight ,fun activities,fighting
building shed ,construction,masoning
using segway ,regular sports,skating
wrapping present ,arts and crafts,paper
blowing out candles ,group activities,blowing
playing squash or racquetball ,regular sports,bat sports
spraying ,arts and crafts,drawing
baking cookies ,kitchen,cooking
playing guitar ,musical instruments,string
inflating balloons ,human body motions,face
checking watch ,human body motions,limb movement
acting in play ,arts and crafts,performing
mosh pit dancing ,dancing,limb movement
throwing ball (not baseball or American football) ,games,throwing
juggling fire ,fun activities,juggling
high kick ,adventure sports,combat activity
playing volleyball ,regular sports,ball sports
playing lute ,musical instruments,string
eating spaghetti ,eating,
fencing (sport) ,adventure sports,combat activity
stretching arm ,exercising,stretching
lighting candle ,human body motions,limb movement
passing American football (in game) ,regular sports,ball sports
bouncing ball (not juggling) ,games,jumping
dancing gangnam style ,dancing,limb movement
plastering ,construction,masoning
applauding ,human interactions,clapping
fidgeting ,human body motions,limb movement
getting a tattoo ,arts and crafts,drawing
playing checkers ,games,board games
ice climbing ,adventure sports,climbing
carving ice ,arts and crafts,carving
javelin throw ,games,throwing
looking in mirror ,human body motions,face
stomping grapes ,fun activities,
playing ping pong ,games,bat sports
peeling apples ,kitchen,peeling
swinging on something ,fun activities,
lawn mower racing ,interaction with automobiles,driving
moving child ,human body motions,limb movement
kissing ,human interactions,touching
backflip (human) ,exercising,jumping
taking photo ,fun activities,
letting go of balloon ,fun activities,
shuffling feet ,dancing,limb movement
swing dancing ,dancing,limb movement
pouring wine ,human body motions,limb movement
tango dancing ,dancing,limb movement
capsizing ,adventure sports,sailing
making pizza ,kitchen,cooking
shaping bread dough ,kitchen,cooking
flipping bottle ,fun activities,
playing cello ,musical instruments,string
using megaphone ,human interactions,communication
pirouetting ,dancing,limb movement
opening wine bottle ,human body motions,limb movement
silent disco ,dancing,limb movement
slacklining ,adventure sports,balancing
peeling potatoes ,kitchen,peeling
bottling ,operating tools,
yarn spinning ,arts and crafts,threads and cloths
tie dying ,arts and crafts,threads and cloths
washing hair ,personal care,hair
using inhaler ,health,blowing
helmet diving ,adventure sports,water sports
news anchoring ,human interactions,presenting
playing piccolo ,musical instruments,wind
using puppets ,fun activities,
playing oboe ,musical instruments,wind
playing didgeridoo ,musical instruments,wind
jaywalking ,human body motions,limb movement
playing ukulele ,musical instruments,string
driving car ,interaction with automobiles,driving
trimming or shaving beard ,personal care,hair
eating nachos ,eating,
cartwheeling ,exercising,bending
spinning plates ,fun activities,juggling
blending fruit ,kitchen,cooking
ironing ,home activities,pushing
reading book ,reading,paper
playing bass guitar ,musical instruments,string
throwing water balloon ,fun activities,throwing
poking bellybutton ,human interactions,touching
putting in contact lenses ,make up,eye
bartending ,human interactions,pouring
playing violin ,musical instruments,string
feeding birds ,animal interactions,petting
cracking knuckles ,human body motions,limb movement
dribbling basketball ,regular sports,ball sports
pulling espresso shot ,kitchen,cooking
picking apples ,plant interactions,plucking
grooming horse ,animal interactions,petting
playing bagpipes ,musical instruments,wind
playing dominoes ,games,blocks games
peeling banana ,kitchen,peeling
brushing floor ,cleaning,limb movement
poaching eggs ,kitchen,cooking
holding snake ,animal interactions,petting
shot put ,regular sports,throwing
embroidering ,arts and crafts,threads and cloths
sneezing ,personal care,face
tying shoe laces ,dressing up,wearing
separating eggs ,kitchen,cooking
roasting pig ,kitchen,cooking
playing field hockey ,regular sports,bat sports
chewing gum ,eating,
chopping wood ,working with wood,chopping
tasting wine ,drinking,
eating cake ,eating,
taking a shower ,personal care,
licking ,human interactions,touching
carving pumpkin ,arts and crafts,carving
blowing leaves ,cleaning,limb movement
egg hunting ,fun activities,
playing road hockey ,regular sports,bat sports
walking the dog ,animal interactions,petting
changing wheel (not on bike) ,interaction with automobiles,repairing
laying tiles ,construction,masoning
scrambling eggs ,kitchen,cooking
pole vault ,regular sports,jumping
breakdancing ,dancing,limb movement
blasting sand ,construction,operating tools
extinguishing fire ,operating tools,
cutting pineapple ,kitchen,cutting
springboard diving ,adventure sports,diving sports
using bagging machine ,operating tools,
flying kite ,fun activities,
playing rubiks cube ,games,blocks games
stacking cups ,games,stacking
using remote controller (not gaming) ,operating tools,
making bed ,home activities,
punching person ,human interactions,fighting
chopping vegetables ,kitchen,chopping
shaving head ,personal care,hair
using a wrench ,construction,operating tools
hitting baseball ,regular sports,bat sports
putting on sari ,personal care,wearing
making horseshoes ,construction,
polishing furniture ,construction,
shining shoes ,cleaning,limb movement
playing hand clapping games ,games,clapping
sailing ,adventure sports,sailing
swimming breast stroke ,regular sports,water sports
pumping gas ,interaction with automobiles,pouring
playing cards ,games,cards
riding camel ,animal interactions,riding
saluting ,human interactions,greeting
wrestling ,adventure sports,combat activity
exercising arm ,exercising,limb movement
pumping fist ,human body motions,limb movement
playing american football ,regular sports,ball sports
blowdrying hair ,make up,hair
tap dancing ,dancing,limb movement
golf driving ,regular sports,bat sports
trimming trees ,plant interactions,cutting
gold panning ,operating tools,
throwing tantrum ,human interactions,communication
cutting nails ,personal care,
tai chi ,adventure sports,combat activity
planing wood ,working with wood,cutting
arguing ,human interactions,communication
scrubbing face ,make up,face
dyeing eyebrows ,make up,eye
tobogganing ,regular sports,skating
jumping jacks ,exercising,jumping
jumping bicycle ,interaction with automobiles,driving
herding cattle ,animal interactions,petting
grooming dog ,animal interactions,petting
cosplaying ,fun activities,
roller skating ,regular sports,skating
opening bottle (not wine) ,human body motions,limb movement
making snowman ,arts and crafts,sculpturing
sticking tongue out ,human body motions,face
shaking hands ,human interactions,greeting
moon walking ,dancing,limb movement
playing chess ,games,board games
flint knapping ,arts and crafts,threads and cloths
cumbia ,dancing,limb movement
curling (sport) ,regular sports,bat sports
massaging legs ,human interactions,massaging
playing monopoly ,games,board games
swimming with sharks ,adventure sports,water sports
jogging ,fun activities,running
pouring beer ,human body motions,limb movement
winking ,human body motions,eyes
frying vegetables ,kitchen,cooking
climbing tree ,plant interactions,climbing
mowing lawn ,plant interactions,cutting
hugging (not baby) ,human interactions,greeting
arresting ,human interactions,communication
making a cake ,kitchen,cooking
cooking chicken ,kitchen,cooking
cleaning pool ,cleaning,limb movement
drinking shots ,drinking,
waxing chest ,personal care,hair
garbage collecting ,cleaning,
falling off bike ,interaction with automobiles,driving
cutting apple ,kitchen,cutting
tapping guitar ,musical instruments,string
talking on cell phone ,human interactions,communication
using circular saw ,operating tools,
arranging flowers ,arts and crafts,decorating
hockey stop ,regular sports,bat sports
drooling ,human body motions,face
shuffling cards ,games,cards
shoot dance ,dancing,limb movement
testifying ,human interactions,communication
shopping ,fun activities,
pushing wheelchair ,interaction with automobiles,pushing
dodgeball ,regular sports,ball sports
looking at phone ,human body motions,face
photobombing ,fun activities,
grinding meat ,kitchen,cooking
leatherworking ,arts and crafts,carving
air drumming ,producing sound,hands
chiseling stone ,arts and crafts,carving
making jewelry ,arts and crafts,carving
contact juggling ,fun activities,juggling
juggling soccer ball ,regular sports,ball sports
archaeological excavation ,group activities,digging
blowing glass ,arts and crafts,blowing
crying ,human emotions,face
knitting ,arts and crafts,threads and cloths
eating hotdog ,eating,
mixing colours ,arts and crafts,drawing
scrapbooking ,arts and crafts,drawing
wading through mud ,human body motions,limb movement
clay pottery making ,arts and crafts,sculpturing
surfing crowd ,group activities,gathering
bouncing on trampoline ,exercising,jumping
bowling ,regular sports,ball sports
swimming backstroke ,regular sports,water sports
installing carpet ,construction,installing
making tea ,kitchen,cooking
playing clarinet ,musical instruments,wind
washing dishes ,cleaning,limb movement
playing marbles ,games,ball games
fixing hair ,make up,hair
cleaning gutters ,cleaning,limb movement
raising eyebrows ,human body motions,eyes
using atm ,operating tools,
polishing metal ,operating tools,
slicing onion ,kitchen,cutting
throwing axe ,human body motions,limb movement
photocopying ,operating tools,
standing on hands ,exercising,standing
carrying baby ,human interactions,touching
opening present ,human body motions,limb movement
swinging baseball bat ,regular sports,bat sports
massaging back ,human interactions,massaging
vacuuming car ,cleaning,limb movement
playing ice hockey ,regular sports,bat sports
braiding hair ,make up,hair
rolling eyes ,human body motions,eyes
dancing macarena ,dancing,limb movement
recording music ,producing sound,singing
riding unicycle ,interaction with automobiles,driving
metal detecting ,operating tools,
bee keeping ,animal interactions,petting
dancing ballet ,dancing,limb movement
playing nose flute ,musical instruments,wind
marriage proposal ,human interactions,communication
changing oil ,interaction with automobiles,repairing
playing tennis ,regular sports,bat sports
opening bottle ,human body motions,limb movement
staring ,human body motions,face
packing ,home activities,
salsa dancing ,dancing,limb movement
walking with crutches ,human body motions,limb movement
assembling computer ,operating tools,
arm wrestling ,regular sports,combat activity
steering car ,interaction with automobiles,driving
listening with headphones ,human body motions,face
putting on lipstick ,make up,face
swimming with dolphins ,adventure sports,water sports
dealing cards ,games,cards
shucking oysters ,kitchen,cooking
laying bricks ,construction,masoning
wood burning (art) ,working with wood,burning
putting wallpaper on wall ,arts and crafts,paper
crawling baby ,human body motions,limb movement
hand washing clothes ,cleaning,limb movement
delivering mail ,human interactions,
playing cricket ,regular sports,bat sports
catching or throwing frisbee ,regular sports,throwing
card stacking ,games,cards
playing accordion ,musical instruments,keyboard
rock climbing ,adventure sports,climbing
brushing hair ,personal care,hair
bench pressing,exercising,
clean and jerk,exercising,
deadlifting,exercising,
doing aerobics,exercising,
exercising with exercise ball,exercising,
front raises,exercising,
ironing hair,personal care,hair
lunge,exercising,
pull ups,exercising,
punching person (boxing),regular sports,combat activity
push up,exercising,
sit up,exercising,
snatch weight lifting,exercising,
squat,exercising,
yoga,exercising,
